SEXE,AGE,TAILLE_AGGLOMERATION_NB_HABITANTS,REGION,CSP,SITUATION_FAMILIALE,ENFANT,Q5_1_val_VarFr,Q5_2_val_PopRock,Q5_3_val_RapHipHop,Q5_4_val_Classique,Q5_5_val_Jazz,Q5_6_val_Dance,Q5_7_val_Electro,Q5_8_val_Metal,Q5_9_val_RnB,Q5_10_val_Soul,Q5_11_val_Reggae,Q5_12_val_MusiqueDuMonde,Q5_13_val_Autre
Femme,50_64,Plus_100000,Île-de-France,CSP_Moins,Célibataire,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,,,,,,,,,,,
Femme,35_49,Moins_100000,Occitanie,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,,,,,,,,,,,,,
Femme,50_64,Plus_100000,Bourgogne-Franche-Comté,CSP_Plus,En_couple,Aucun,,,,,,,,,,,,,
Homme,65+,Plus_100000,Normandie,Inactif,En_couple,Aucun,Variété Française,Pop / Rock,,,Jazz,,,,,Soul,,,
Homme,50_64,Plus_100000,Île-de-France,CSP_Plus,En_couple,Aucun,Variété Française,,,,,,,,,,,Musiques du monde,
Homme,50_64,Moins_100000,Pays-de-la-Loire,Inactif,En_couple,Aucun,Variété Française,Pop / Rock,,,,Dance,Electronique,,,,Reggae,Musiques du monde,
Femme,65+,Plus_100000,Pays-de-la-Loire,Inactif,Célibataire,#NUL!,Variété Française,Pop / Rock,,,,,,,,,Reggae,,
Homme,50_64,Plus_100000,Auvergne-Rhône-Alpes,CSP_Plus,En_couple,Aucun,Variété Française,Pop / Rock,Rap / Hip-Hop,Classique,Jazz,Dance,Electronique,Métal,R&B,Soul,Reggae,Musiques du monde,Autres genres
Femme,25_34,Plus_100000,Île-de-France,CSP_Plus,En_couple,Aucun,,Pop / Rock,Rap / Hip-Hop,,,,,,R&B,,,,
Femme,25_34,Plus_100000,Nouvelle-Aquitaine,CSP_Moins,Célibataire,#NUL!,,Pop / Rock,Rap / Hip-Hop,Classique,,,Electronique,,,,,,
Homme,50_64,Plus_100000,Bourgogne-Franche-Comté,CSP_Moins,En_couple,Aucun,Variété Française,Pop / Rock,,,,,,Métal,,,,,
Homme,35_49,Plus_100000,Nouvelle-Aquitaine,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,,,Classique,,,Electronique,,,,,Musiques du monde,
Homme,65+,Plus_100000,Auvergne-Rhône-Alpes,Inactif,Célibataire,Un_ou_plus_dans_le_foyer,,,,,,,,,,,,,
Homme,35_49,Moins_100000,Nouvelle-Aquitaine,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,,Pop / Rock,Rap / Hip-Hop,Classique,,Dance,Electronique,Métal,R&B,,,,Autres genres
Homme,50_64,Moins_100000,Hauts-de-France,CSP_Plus,En_couple,Aucun,Variété Française,Pop / Rock,,,,Dance,,,,,,Musiques du monde,
Femme,65+,Plus_100000,Auvergne-Rhône-Alpes,Inactif,En_couple,Aucun,Variété Française,Pop / Rock,,Classique,,,,,,,,Musiques du monde,
Homme,35_49,Moins_100000,Grand-Est,CSP_Moins,Célibataire,#NUL!,Variété Française,Pop / Rock,Rap / Hip-Hop,,Jazz,Dance,,Métal,R&B,,,,
Homme,50_64,Moins_100000,Grand-Est,Inactif,En_couple,Aucun,Variété Française,Pop / Rock,,,Jazz,Dance,,,R&B,Soul,,Musiques du monde,
Femme,35_49,Plus_100000,Nouvelle-Aquitaine,CSP_Moins,Célibataire,#NUL!,,,,,,,,,,,Reggae,,
Homme,50_64,Plus_100000,Hauts-de-France,Inactif,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,,,,,,,,,,,
Homme,25_34,Plus_100000,Pays-de-la-Loire,CSP_Plus,En_couple,Aucun,,,,,,,,,,,,Musiques du monde,
Femme,35_49,Plus_100000,Occitanie,Inactif,En_couple,Aucun,Variété Française,Pop / Rock,Rap / Hip-Hop,,,,,,,,,Musiques du monde,
Femme,35_49,Plus_100000,Auvergne-Rhône-Alpes,CSP_Moins,En_couple,Un_ou_plus_dans_le_foyer,,Pop / Rock,,,,,,,,,,,
Femme,50_64,Plus_100000,Nouvelle-Aquitaine,Inactif,En_couple,Aucun,Variété Française,Pop / Rock,Rap / Hip-Hop,Classique,,,Electronique,,,,,Musiques du monde,
Homme,25_34,Moins_100000,Île-de-France,Inactif,Enfant_vivant_chez_parents,Aucun,Variété Française,Pop / Rock,,Classique,,,,,,,,Musiques du monde,
Homme,15_24,Plus_100000,Île-de-France,Inactif,Enfant_vivant_chez_parents,Aucun,,Pop / Rock,Rap / Hip-Hop,Classique,,,,Métal,R&B,Soul,Reggae,,
Homme,65+,Plus_100000,Bretagne,Inactif,En_couple,Aucun,,,,,,,,,,,,,
Homme,35_49,Plus_100000,Hauts-de-France,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,,,,,,,,,,,
Femme,35_49,Moins_100000,Bretagne,Inactif,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,,,,,,,,,,,,
Femme,35_49,Plus_100000,Auvergne-Rhône-Alpes,Inactif,En_couple,Aucun,,,,,,,,,,,,,
Femme,50_64,Moins_100000,Hauts-de-France,CSP_Moins,Célibataire,Aucun,,,,,,,Electronique,,,,,,Autres genres
Femme,35_49,Plus_100000,Île-de-France,Inactif,En_couple,Aucun,,,,,,,,,,,,,
Homme,65+,Plus_100000,Île-de-France,Inactif,En_couple,Aucun,,Pop / Rock,,Classique,,,,,,Soul,,Musiques du monde,
Femme,35_49,Moins_100000,Auvergne-Rhône-Alpes,CSP_Plus,En_couple,Aucun,Variété Française,Pop / Rock,Rap / Hip-Hop,,Jazz,Dance,,,R&B,Soul,Reggae,,
Homme,50_64,Moins_100000,Auvergne-Rhône-Alpes,Inactif,En_couple,Aucun,,,,,,,,,,,,,
Homme,50_64,Plus_100000,Provence-Alpes-Côte-d'Azur,CSP_Plus,En_couple,Aucun,Variété Française,,,Classique,,,,,,,,Musiques du monde,
Femme,35_49,Moins_100000,Auvergne-Rhône-Alpes,CSP_Moins,En_couple,Un_ou_plus_dans_le_foyer,,,,,,,,,,,,,
Homme,25_34,Moins_100000,Hauts-de-France,CSP_Plus,En_couple,Aucun,,,Rap / Hip-Hop,,,Dance,,,R&B,,,,
Homme,35_49,Plus_100000,Île-de-France,CSP_Moins,En_couple,Aucun,Variété Française,,,,,,,,,,,,
Femme,50_64,Moins_100000,Auvergne-Rhône-Alpes,CSP_Moins,En_couple,Aucun,Variété Française,Pop / Rock,,,,,,,,Soul,,,
Femme,35_49,Moins_100000,Occitanie,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,,,Jazz,Dance,,,,Soul,,Musiques du monde,
Femme,35_49,Plus_100000,Île-de-France,Inactif,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,,,,,,,R&B,Soul,,Musiques du monde,
Homme,35_49,Moins_100000,Grand-Est,CSP_Moins,En_couple,Un_ou_plus_dans_le_foyer,,,,,,Dance,,,,,,,
Femme,50_64,Moins_100000,Bretagne,CSP_Plus,Célibataire,#NUL!,,,,,,,,,,,,,
Homme,15_24,Plus_100000,Île-de-France,Inactif,Enfant_vivant_chez_parents,Aucun,,,Rap / Hip-Hop,,,,Electronique,,R&B,,,,
Femme,65+,Moins_100000,Occitanie,Inactif,Célibataire,#NUL!,Variété Française,,,,,,,,,,,,
Homme,65+,Moins_100000,Normandie,Inactif,Célibataire,#NUL!,Variété Française,,,Classique,Jazz,,,,,,Reggae,Musiques du monde,
Femme,15_24,Moins_100000,Île-de-France,CSP_Moins,Célibataire,#NUL!,,Pop / Rock,Rap / Hip-Hop,,,,,,R&B,Soul,,,
Femme,65+,Moins_100000,Bourgogne-Franche-Comté,Inactif,En_couple,Aucun,Variété Française,,,,,,,,,,,,
Homme,25_34,Plus_100000,Auvergne-Rhône-Alpes,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,,,,Classique,,,,,,Soul,Reggae,,
Homme,65+,Plus_100000,Île-de-France,Inactif,En_couple,Aucun,Variété Française,Pop / Rock,,Classique,Jazz,,,,,,,Musiques du monde,
Femme,15_24,Moins_100000,Grand-Est,Inactif,Enfant_vivant_chez_parents,Un_ou_plus_dans_le_foyer,Variété Française,,,,,,,,,,,,
Femme,35_49,Plus_100000,Hauts-de-France,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,,,,,,,,,,,
Homme,65+,Moins_100000,Centre-Val de Loire,Inactif,En_couple,Aucun,Variété Française,Pop / Rock,,,,,,,,,,,
Femme,35_49,Plus_100000,Grand-Est,CSP_Moins,Célibataire,Aucun,,Pop / Rock,,,,,,Métal,,Soul,,,
Femme,35_49,Plus_100000,Île-de-France,Inactif,En_couple,Aucun,,,Rap / Hip-Hop,,,,,,R&B,,,,
Femme,35_49,Plus_100000,Hauts-de-France,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,,,,,,,,,,Musiques du monde,
Femme,50_64,Moins_100000,Provence-Alpes-Côte-d'Azur,CSP_Moins,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,,,,,,,,,Reggae,,
Femme,35_49,Plus_100000,Île-de-France,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,,Rap / Hip-Hop,,Jazz,,,,,,Reggae,Musiques du monde,Autres genres
Femme,15_24,Plus_100000,Grand-Est,Inactif,Célibataire,#NUL!,,Pop / Rock,Rap / Hip-Hop,,Jazz,,Electronique,Métal,,,,Musiques du monde,
Homme,50_64,Plus_100000,Île-de-France,CSP_Plus,En_couple,Aucun,,,,Classique,,,,,,Soul,,,
Femme,50_64,Moins_100000,Nouvelle-Aquitaine,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,,,,,,Dance,,,,,,,
Homme,35_49,Moins_100000,Nouvelle-Aquitaine,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,Rap / Hip-Hop,,,,,,,,,,
Femme,35_49,Plus_100000,Pays-de-la-Loire,Inactif,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,Rap / Hip-Hop,,,,,,R&B,Soul,Reggae,,
Femme,35_49,Plus_100000,Pays-de-la-Loire,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,,Pop / Rock,Rap / Hip-Hop,,,,,Métal,R&B,,,Musiques du monde,
Femme,35_49,Plus_100000,Provence-Alpes-Côte-d'Azur,CSP_Moins,Célibataire,Aucun,,,,,,,,,,,,,
Femme,35_49,Moins_100000,Bretagne,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,,,Rap / Hip-Hop,,,,,,,,,,
Homme,15_24,Moins_100000,Hauts-de-France,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,,Pop / Rock,,,,,,,,,,,
Homme,15_24,Plus_100000,Nouvelle-Aquitaine,Inactif,Enfant_vivant_chez_parents,Un_ou_plus_dans_le_foyer,,Pop / Rock,,Classique,,Dance,Electronique,Métal,,,Reggae,Musiques du monde,
Homme,65+,Moins_100000,Nouvelle-Aquitaine,Inactif,En_couple,Aucun,,,,,,,,,,,,,
Homme,65+,Moins_100000,Centre-Val de Loire,Inactif,En_couple,Aucun,Variété Française,Pop / Rock,,Classique,Jazz,,,,,,,,
Homme,15_24,Plus_100000,Provence-Alpes-Côte-d'Azur,Inactif,Enfant_vivant_chez_parents,Aucun,Variété Française,Pop / Rock,,,,,,,,,,Musiques du monde,
Homme,15_24,Plus_100000,Bretagne,Inactif,Enfant_vivant_chez_parents,Aucun,Variété Française,,,,,,,,,,,,
Femme,35_49,Moins_100000,Normandie,CSP_Moins,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,,Rap / Hip-Hop,,,,,,R&B,,,,
Femme,35_49,Moins_100000,Auvergne-Rhône-Alpes,CSP_Moins,Célibataire,Un_ou_plus_dans_le_foyer,Variété Française,,,,,,,,,Soul,Reggae,,
Homme,35_49,Moins_100000,Auvergne-Rhône-Alpes,CSP_Moins,En_couple,Aucun,,Pop / Rock,,,Jazz,,,,,,,,
Femme,15_24,Moins_100000,Occitanie,Inactif,Enfant_vivant_chez_parents,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,Rap / Hip-Hop,,,,Electronique,,R&B,,Reggae,Musiques du monde,
Femme,15_24,Moins_100000,Hauts-de-France,Inactif,Enfant_vivant_chez_parents,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,Rap / Hip-Hop,,Jazz,,Electronique,,,,,Musiques du monde,
Femme,35_49,Moins_100000,Nouvelle-Aquitaine,CSP_Plus,Célibataire,Un_ou_plus_dans_le_foyer,Variété Française,,,,,Dance,,,,,,,
Homme,35_49,Plus_100000,Île-de-France,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,,,,,,,,,,Musiques du monde,
Homme,15_24,Plus_100000,Nouvelle-Aquitaine,Inactif,Enfant_vivant_chez_parents,Un_ou_plus_dans_le_foyer,,Pop / Rock,,,,,,Métal,,,,,
Femme,25_34,Plus_100000,Île-de-France,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,,,,,,,,,,,
Femme,35_49,Plus_100000,Hauts-de-France,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,,,,,,,R&B,,,,
Femme,35_49,Moins_100000,Auvergne-Rhône-Alpes,CSP_Plus,Célibataire,Aucun,,,,,,,,,,,,,
Femme,35_49,Plus_100000,Hauts-de-France,CSP_Moins,En_couple,Aucun,Variété Française,Pop / Rock,Rap / Hip-Hop,,,,,,,,,,
Homme,15_24,Plus_100000,Provence-Alpes-Côte-d'Azur,CSP_Moins,Enfant_vivant_chez_parents,Un_ou_plus_dans_le_foyer,,,,,,,,,R&B,,,,
Femme,65+,Plus_100000,Bourgogne-Franche-Comté,Inactif,En_couple,Aucun,Variété Française,,,,,,,,,,,Musiques du monde,
Femme,35_49,Plus_100000,Hauts-de-France,CSP_Moins,En_couple,Un_ou_plus_dans_le_foyer,,,,,,,Electronique,,,,,,
Femme,15_24,Plus_100000,Occitanie,Inactif,Enfant_vivant_chez_parents,Aucun,Variété Française,Pop / Rock,Rap / Hip-Hop,,,Dance,Electronique,Métal,R&B,,Reggae,,
Femme,35_49,Moins_100000,Centre-Val de Loire,CSP_Plus,En_couple,Aucun,,,,,,,,,,,,,
Homme,65+,Moins_100000,Nouvelle-Aquitaine,Inactif,En_couple,Aucun,,,,Classique,,,,,,,,,
Femme,35_49,Moins_100000,Bretagne,CSP_Moins,En_couple,Aucun,,,Rap / Hip-Hop,,Jazz,,Electronique,,,Soul,,,
Homme,65+,Plus_100000,Île-de-France,Inactif,En_couple,Aucun,Variété Française,,,Classique,Jazz,,,,,,,,
Femme,65+,Moins_100000,Centre-Val de Loire,Inactif,En_couple,Aucun,Variété Française,,,Classique,Jazz,Dance,,,,,,,
Homme,50_64,Plus_100000,Auvergne-Rhône-Alpes,CSP_Plus,Célibataire,#NUL!,,,,,,,,,,,,,
Femme,65+,Moins_100000,Occitanie,Inactif,En_couple,Aucun,,,,,,,,,,,,,
Femme,15_24,Plus_100000,Bretagne,Inactif,Enfant_vivant_chez_parents,Aucun,Variété Française,Pop / Rock,Rap / Hip-Hop,,,,Electronique,,,,,,
Femme,35_49,Plus_100000,Île-de-France,CSP_Moins,Célibataire,Aucun,,Pop / Rock,Rap / Hip-Hop,,,,,,R&B,,,,
Femme,50_64,Plus_100000,Grand-Est,Inactif,En_couple,Aucun,,Pop / Rock,,,,Dance,,,,,Reggae,,
Femme,15_24,Moins_100000,Normandie,Inactif,Enfant_vivant_chez_parents,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,,,,,,,,,,,
Homme,15_24,Plus_100000,Île-de-France,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,,,Rap / Hip-Hop,,,,,,,,,,
Femme,35_49,Moins_100000,Hauts-de-France,CSP_Moins,En_couple,Aucun,,,Rap / Hip-Hop,,,Dance,,,,,,,
Femme,35_49,Plus_100000,Île-de-France,CSP_Moins,En_couple,Aucun,,Pop / Rock,,,,Dance,,,R&B,Soul,,,
Femme,35_49,Moins_100000,Pays-de-la-Loire,Inactif,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,,,,,,,,,,,Autres genres
Femme,50_64,Plus_100000,Centre-Val de Loire,CSP_Plus,Célibataire,Aucun,Variété Française,Pop / Rock,,,,Dance,Electronique,,R&B,,Reggae,,
Homme,50_64,Moins_100000,Grand-Est,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,,,Jazz,,,,,,,Musiques du monde,
Femme,50_64,Moins_100000,Hauts-de-France,CSP_Moins,En_couple,Aucun,Variété Française,,,,,,,,,,,,
Homme,35_49,Moins_100000,Nouvelle-Aquitaine,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,Rap / Hip-Hop,,,Dance,Electronique,,R&B,Soul,,Musiques du monde,
Femme,35_49,Plus_100000,Île-de-France,CSP_Plus,En_couple,Aucun,Variété Française,Pop / Rock,Rap / Hip-Hop,,,,,Métal,R&B,Soul,Reggae,,
Homme,25_34,Plus_100000,Hauts-de-France,CSP_Plus,En_couple,Aucun,,,Rap / Hip-Hop,Classique,,,,,,,,Musiques du monde,
Femme,15_24,Moins_100000,Auvergne-Rhône-Alpes,Inactif,Enfant_vivant_chez_parents,Aucun,,Pop / Rock,,,,,,,,,,Musiques du monde,
Femme,35_49,Moins_100000,Centre-Val de Loire,Inactif,En_couple,Aucun,,Pop / Rock,Rap / Hip-Hop,,,Dance,Electronique,,,,,,
Femme,15_24,Moins_100000,Bretagne,CSP_Moins,Enfant_vivant_chez_parents,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,,,,,,,,,,,
Femme,35_49,Moins_100000,Nouvelle-Aquitaine,CSP_Plus,En_couple,Aucun,Variété Française,Pop / Rock,Rap / Hip-Hop,,,Dance,,,R&B,,,,
Homme,35_49,Plus_100000,Nouvelle-Aquitaine,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,,Classique,Jazz,,,,,Soul,,,
Homme,15_24,Plus_100000,Auvergne-Rhône-Alpes,Inactif,Célibataire,Aucun,,Pop / Rock,Rap / Hip-Hop,,,,,,,,,,
Femme,50_64,Plus_100000,Normandie,CSP_Moins,En_couple,Un_ou_plus_dans_le_foyer,,Pop / Rock,,,,,,,,,,,
Femme,25_34,Moins_100000,Pays-de-la-Loire,Inactif,En_couple,Aucun,Variété Française,,,,,,,,,,,,
Homme,65+,Plus_100000,Île-de-France,Inactif,Célibataire,#NUL!,,,,,Jazz,,,,,Soul,,,
Homme,15_24,Moins_100000,Bourgogne-Franche-Comté,Inactif,Célibataire,Un_ou_plus_dans_le_foyer,,,,,,,,,,,,,
